product_name,shipping_fee,page_number,product_condition,seller_feedback_score,origin_country,manufacturer,category,product_price
asus vivobook,172.23,3,New,7471,United States,asus,Computers,2564.61
huawei mediapad,100.8,4,For parts or not working,17334,Germany,huawei,Tablets,146.59
dell latitude,218.99,2,Used,460,United States,dell,Tablets,358.05
asus vivobook,161.41,3,New,7471,United States,asus,Computers,1998.39
dell precision,158.96,1,Used,149,United Kingdom,dell,Computers,1349.43
galaxy s10,91.53,4,Seller refurbished,839,United States,samsung,Smartphones,1040.1
galaxy s20,93.77,2,Seller refurbished,44117,United States,samsung,Smartphones,1366.85
lenovo thinkpad,153.25,2,Seller refurbished,13952,United Kingdom,lenovo,Computers,1034.52
lenovo thinkbook,198.04,2,New,318627,United States,lenovo,Computers,3087.69
xiaomi mi 11,81.26,1,New,1895,Singapore,xiaomi,Smartphones,1300.09
ipad air,109.81,1,For parts or not working,17171,United States,apple,Tablets,169.87
lenovo tab,129.98,4,Seller refurbished,25826,United States,lenovo,Tablets,516.44
iphone 11,110.94,4,Seller refurbished,106,United Kingdom,apple,Smartphones,1841.3
huawei p40,92.44,2,Open box,5367,United Kingdom,huawei,Smartphones,824.0
lenovo thinkpad,151.77,2,Used,3086,United Kingdom,lenovo,Computers,782.57
iphone 11,66.61,3,Used,1064,United States,apple,Smartphones,2331.46
galaxy s20,102.45,4,Open box,4132,United States,samsung,Smartphones,1612.12
galaxy s10,103.64,2,Used,104,United Kingdom,samsung,Smartphones,584.75
oneplus 8 pro,114.51,2,Used,16990,United States,oneplus,Smartphones,2242.67
oneplus nord,0.0,3,New,212,United Kingdom,oneplus,Smartphones,2244.55
asus zenbook,203.5,3,Seller refurbished,78929,United Kingdom,asus,Computers,3769.16
asus rog strix scar,259.85,2,New,365,United States,asus,Computers,6142.25
asus zenbook,192.8,3,Seller refurbished,78929,United Kingdom,asus,Computers,3182.32
huawei p30,91.56,4,Seller refurbished,4983,United Kingdom,huawei,Smartphones,1410.2
lenovo ideapad,150.15,4,New,34895,United States,lenovo,Computers,2161.63
dell latitude,159.81,2,Used,103510,United States,dell,Tablets,832.64
lenovo thinkpad,107.26,2,Seller refurbished,60,United States,lenovo,Computers,1007.59
macbook pro,114.41,2,For parts or not working,7166,United States,apple,Computers,691.12
lenovo thinkbook,252.53,2,New,365,United States,lenovo,Computers,5941.94
dell xps,179.64,4,Used,11993,United States,dell,Computers,2707.47
dell xps,153.41,3,Used,359,United States,dell,Computers,2860.23
asus zenbook,203.32,4,Used,78929,United Kingdom,asus,Computers,3760.18
asus zephyrus,276.83,1,New,1450,United States,asus,Computers,5684.77
lenovo thinkbook,172.76,3,Open box,5630,United States,lenovo,Computers,2181.61
xiaomi mi 10,130.01,3,New,486,Hong Kong,xiaomi,Smartphones,1917.58
dell xps,150.68,1,Used,43886,United States,dell,Computers,1950.15
hp zbook,270.16,1,New,11654,United States,hp,Computers,4290.36
xiaomi mi 10,115.13,2,New,769,United Kingdom,xiaomi,Smartphones,2071.28
dell vostro,153.48,3,Used,4487,United Kingdom,dell,Computers,45.1
xiaomi mi 11,0.0,2,New,2755,Ukraine,xiaomi,Smartphones,1299.96
lenovo ideapad,190.68,3,New,7471,United States,lenovo,Computers,3530.51
macbook pro,273.32,3,Used,135,United States,apple,Computers,1282.32
lenovo thinkpad,97.26,1,Used,44196,United States,lenovo,Computers,965.87
dell xps,97.91,2,Used,1379,Germany,dell,Computers,4660.57
asus zenbook,196.82,1,Seller refurbished,59433,United Kingdom,asus,Computers,3403.65
dell xps,192.97,1,Used,849,United Kingdom,dell,Computers,238.4
lenovo tab,122.26,1,Used,283,"United Kingdom and many other countries 
									|  See details",lenovo,Tablets,224.9
huawei p40,152.08,1,Used,1774,United Kingdom,huawei,Smartphones,2024.14
asus zenbook,0.0,2,New,6426,South,asus,Computers,6520.76
macbook pro,117.81,4,Seller refurbished,4770,United States,apple,Computers,1262.34
huawei p40,139.89,3,New,486,Hong Kong,huawei,Smartphones,4329.78
dell vostro,145.83,1,Used,1458,United Kingdom,dell,Computers,455.73
ipad air,103.81,4,Used,16750,United Kingdom,apple,Tablets,824.0
galaxy tab,82.28,1,New,321,Germany,samsung,Tablets,564.69
oneplus nord,218.55,4,New,960,Italy,oneplus,Smartphones,708.57
xiaomi mi 10,0.0,2,New,25703,China,xiaomi,Smartphones,1735.26
asus rog strix scar,134.44,1,Used,189,United States,asus,Computers,2267.72
huawei p40,199.73,2,New,128,Germany,huawei,Smartphones,975.35
galaxy s10,159.46,2,Used,2628,United Kingdom,samsung,Smartphones,994.08
galaxy s21,161.27,3,New,188,United States,samsung,Smartphones,3330.7
iphone 12,128.39,4,Open box,2195,United Kingdom,apple,Smartphones,2798.84
macbook air,220.56,3,Used,1435,United States,apple,Computers,1925.15
lenovo ideapad,182.42,3,Used,1095,United States,lenovo,Computers,840.97
dell vostro,158.0,2,Seller refurbished,69328,United States,dell,Computers,1956.21
galaxy tab,72.0,2,New,14591,United Kingdom,samsung,Tablets,631.49
huawei p30,94.0,1,New,14591,United Kingdom,huawei,Smartphones,910.96
galaxy s20,119.87,1,New,119196,United States,samsung,Smartphones,2331.46
galaxy s20,111.39,2,Open box,2287,United States,samsung,Smartphones,2080.16
dell xps,229.44,2,Used,17539,United States,dell,Computers,1462.6
lenovo ideapad,200.94,2,Open box,337,United States,lenovo,Computers,2031.69
iphone 12,238.27,3,Used,579,United Kingdom,apple,Smartphones,5524.04
galaxy s10,81.94,3,Used,43886,United States,samsung,Smartphones,747.54
xiaomi mi 10,130.85,1,New,1609,United Kingdom,xiaomi,Smartphones,845.64
dell xps,229.67,2,Seller refurbished,1880,United Kingdom,dell,Computers,3953.82
huawei mediapad,0.0,4,Seller refurbished,12,China,huawei,Tablets,578.52
galaxy s21,127.5,4,Seller refurbished,94331,United States,samsung,Smartphones,2831.06
huawei p40,0.0,3,New,5010,United Kingdom,huawei,Smartphones,1330.37
macbook pro,91.56,4,Used,5031,United States,apple,Computers,1162.42
asus vivobook,167.8,2,Open box,1051,United States,asus,Computers,1921.82
galaxy s20,23.14,3,New,1012,France,samsung,Smartphones,156.08
galaxy s21,141.22,3,New,7,United States,samsung,Smartphones,3763.69
iphone x,88.47,1,Seller refurbished,14692,United States,apple,Smartphones,1153.79
dell xps,171.78,3,Used,11993,United States,dell,Computers,3055.25
dell precision,140.12,2,Used,5378,United States,dell,Computers,1040.1
asus zenbook,205.12,2,Seller refurbished,78929,United Kingdom,asus,Computers,3859.45
galaxy s20,111.6,3,Used,67,United Kingdom,samsung,Smartphones,1974.66
galaxy tab,65.21,3,Open box,162,United States,samsung,Tablets,896.61
ipad pro,138.86,3,New,5219,United States,apple,Tablets,2468.09
lenovo thinkpad,242.08,2,Used,90,United States,lenovo,Computers,2498.03
huawei mediapad,340.73,4,New,16243,Germany,huawei,Tablets,998.3
lenovo thinkpad,277.26,3,Seller refurbished,1880,United Kingdom,lenovo,Computers,5285.25
huawei matebook,0.0,2,New,21097,Italy,huawei,Computers,4013.82
lenovo thinkpad,197.44,2,Used,2768,United States,lenovo,Computers,815.99
ipad air,104.15,4,Used,43886,United States,apple,Tablets,939.22
ipad pro,196.68,2,New,106,United Kingdom,apple,Tablets,2302.23
asus zephyrus,224.27,1,New,87,United States,asus,Computers,3250.3
galaxy s20,115.13,1,Used,9190,United Kingdom,samsung,Smartphones,2071.51
lenovo tab,129.63,2,Used,141,United Kingdom,lenovo,Tablets,220.41
huawei p30,92.07,3,Seller refurbished,377,United Kingdom,huawei,Smartphones,805.54
ipad pro,149.98,1,For parts or not working,460,United States,apple,Tablets,4.08
hp zbook,251.39,1,Used,20,United States,hp,Computers,1457.82
galaxy s20,0.0,1,New,0,Philippines,samsung,Smartphones,1519.82
ipad pro,0.0,1,New,0,Philippines,apple,Tablets,1440.02
lenovo thinkpad,215.59,3,Used,364,United Kingdom,lenovo,Computers,463.3
asus zenbook,215.51,3,New,318627,United States,asus,Computers,3772.61
iphone x,91.33,3,Used,78415,United States,apple,Smartphones,1030.34
dell latitude,171.5,1,Used,1,United States,dell,Tablets,2115.0
oneplus nord,164.49,3,New,16243,Germany,oneplus,Smartphones,1914.75
iphone 12,137.38,2,New,2952,United States,apple,Smartphones,3426.09
asus zephyrus,270.16,2,New,11993,United States,asus,Computers,6224.29
lenovo ideapad,151.55,4,New,7471,United States,lenovo,Computers,1482.13
lenovo ideapad,269.15,3,New,1477,United States,lenovo,Computers,1998.39
lenovo ideapad,136.16,2,New,9853,United States,lenovo,Computers,1828.56
macbook pro,151.11,2,Used,7166,United States,apple,Computers,1825.22
hp zbook,157.22,1,Used,5093,United States,hp,Computers,1554.98
huawei p30,115.87,1,New,271,United Kingdom,huawei,Smartphones,2112.94
dell xps,210.62,4,Used,82,United States,dell,Computers,1946.93
galaxy s21,165.84,3,New,41,United States,samsung,Smartphones,2328.16
macbook pro,226.62,4,Used,14763,United States,apple,Computers,3663.74
xiaomi redmibook,161.07,1,New,408435,Germany,xiaomi,Computers,115.04
ipad air,98.37,3,Used,27114,United Kingdom,apple,Tablets,1150.61
lenovo ideapad,198.36,1,For parts or not working,761,United Kingdom,lenovo,Computers,22.97
huawei mediapad,116.57,1,New,1641,China,huawei,Tablets,859.32
lenovo ideapad,325.61,3,New,1477,United States,lenovo,Computers,2831.06
huawei p40,86.05,4,Open box,28174,United Kingdom,huawei,Smartphones,570.85
dell latitude,130.23,1,Seller refurbished,716,United States,dell,Tablets,732.75
lenovo thinkpad,189.7,2,Seller refurbished,17427,United Kingdom,lenovo,Computers,2195.8
hp zbook,211.49,1,New,16243,Germany,hp,Computers,6312.92
macbook air,479.05,3,Used,65582,United States,apple,Computers,666.11
huawei p30,151.43,2,Used,314,Australia,huawei,Smartphones,1012.93
dell precision,170.09,4,Seller refurbished,490,United States,dell,Computers,2206.95
lenovo ideapad,224.16,4,Used,1679,United States,lenovo,Computers,932.56
dell xps,192.42,2,New,2310,United States,dell,Computers,3376.67
iphone x,386.55,4,Open box,6,Italy,apple,Smartphones,1174.93
dell xps,256.16,2,Certified refurbished,9853,United States,dell,Computers,7472.44
asus rog strix scar,218.91,2,Seller refurbished,78929,United Kingdom,asus,Computers,3982.86
huawei p40,0.0,2,New,208,United Kingdom,huawei,Smartphones,1652.61
ipad pro,99.31,3,Seller refurbished,5219,United States,apple,Tablets,782.46
galaxy s21,243.61,4,New,208,United Kingdom,samsung,Smartphones,6854.41
lenovo thinkbook,163.87,2,New,60475,United States,lenovo,Computers,3279.64
lenovo thinkpad,133.29,1,Seller refurbished,69328,United States,lenovo,Computers,682.53
lenovo thinkbook,161.81,2,New,7622,United States,lenovo,Computers,2772.04
oneplus nord,169.8,2,New,140,United Kingdom,oneplus,Smartphones,3220.63
macbook air,161.12,2,New,121,United Kingdom,apple,Computers,5059.1
oneplus nord,130.01,1,New,486,Hong Kong,oneplus,Smartphones,1397.5
iphone 11,145.19,4,Used,551,United States,apple,Smartphones,1965.11
lenovo ideapad,235.05,3,Seller refurbished,1519,United States,lenovo,Computers,1623.72
huawei p30,92.44,4,For parts or not working,1190,United Kingdom,huawei,Smartphones,824.0
lenovo thinkpad,145.45,1,Seller refurbished,69328,United States,lenovo,Computers,751.44
dell precision,217.18,4,Seller refurbished,3860,United States,dell,Computers,1722.5
macbook pro,130.4,1,Seller refurbished,2374,United States,apple,Computers,1527.13
huawei p40,173.28,2,New,5010,United Kingdom,huawei,Smartphones,2508.83
galaxy s10,86.91,4,Used,78415,United States,samsung,Smartphones,1007.59
dell precision,341.67,3,New,194,United States,dell,Computers,7147.41
lenovo thinkpad,141.02,2,For parts or not working,117,United States,lenovo,Computers,329.74
oneplus nord,89.06,1,New,734,United States,oneplus,Smartphones,909.73
huawei p30,230.17,3,Seller refurbished,4983,United Kingdom,huawei,Smartphones,828.61
huawei p30,69.05,2,Used,36,Hungary,huawei,Smartphones,805.59
macbook pro,161.41,2,Used,79,United States,apple,Computers,2364.8
galaxy tab,162.5,2,Used,39515,United States,samsung,Tablets,35.86
galaxy s21,83.27,1,Open box,38,South,samsung,Smartphones,3497.24
huawei matebook,333.07,1,New,1641,China,huawei,Computers,3064.25
iphone x,85.48,3,Used,43886,United States,apple,Smartphones,1153.82
macbook air,166.73,3,Used,5782,United States,apple,Computers,1865.16
asus zephyrus,328.41,2,New,25284,United Kingdom,asus,Computers,8096.42
oneplus nord,125.63,2,Open box,140,United Kingdom,oneplus,Smartphones,1794.74
ipad air,97.02,2,Seller refurbished,30140,United States,apple,Tablets,566.19
xiaomi mi 11,99.92,1,New,1641,China,xiaomi,Smartphones,2448.07
oneplus nord,80.35,1,Open box,5250,United States,oneplus,Smartphones,455.04
iphone 12,200.11,3,Used,1220,United Kingdom,apple,Smartphones,4488.28
macbook pro,138.69,3,Used,4770,United States,apple,Computers,1562.1
galaxy s20,158.17,3,Used,183,United Kingdom,samsung,Smartphones,2163.58
oneplus nord,0.0,2,New,212,United Kingdom,oneplus,Smartphones,1344.93
galaxy s20,111.97,1,New,17146,United States,samsung,Smartphones,2109.44
huawei mediapad,178.77,2,New,17243,Hong Kong,huawei,Tablets,2453.91
dell xps,228.28,1,Used,1224,United Kingdom,dell,Computers,2698.63
huawei p40,96.59,3,New,298,Switzerland,huawei,Smartphones,2498.03
asus vivobook,114.18,2,New,22,United States,asus,Computers,1465.34
xiaomi mi 10,0.0,1,New,25703,China,xiaomi,Smartphones,2035.03
huawei p30,98.37,2,Used,27114,United Kingdom,huawei,Smartphones,1150.61
macbook pro,225.46,2,Used,1844,United States,apple,Computers,1865.19
galaxy s21,153.98,3,Used,14763,United States,samsung,Smartphones,2031.63
huawei p30,86.64,4,For parts or not working,27114,United Kingdom,huawei,Smartphones,506.32
xiaomi mi 10,102.05,1,New,981,United States,xiaomi,Smartphones,1498.78
hp zbook,267.21,1,New,296957,United States,hp,Computers,6501.67
oneplus nord,53.92,3,New,1174,India,oneplus,Smartphones,1807.46
lenovo thinkbook,255.83,3,New,11993,United States,lenovo,Computers,6114.17
lenovo thinkpad,193.1,2,New,8223,United States,lenovo,Computers,3412.78
ipad pro,114.28,2,Used,34,United States,apple,Tablets,1564.99
galaxy s10,105.89,3,Open box,849,United Kingdom,samsung,Smartphones,1659.79
asus vivobook,153.78,1,New,32390,United States,asus,Computers,1598.7
iphone 12,184.78,1,Used,364,United Kingdom,apple,Smartphones,2633.12
dell vostro,204.63,2,Used,61,United Kingdom,dell,Computers,1354.21
lenovo thinkbook,211.4,2,New,296957,United States,lenovo,Computers,3788.24
lenovo ideapad,247.97,1,Used,48459,United States,lenovo,Computers,86.6
dell xps,133.65,2,Used,43886,United States,dell,Computers,2210.04
iphone x,175.35,3,New,0,United States,apple,Smartphones,1365.13
asus rog strix scar,312.21,1,Open box,25284,United Kingdom,asus,Computers,7200.85
dell xps,279.2,1,Used,14763,United States,dell,Computers,6175.54
huawei matebook,243.75,1,Used,185,United Kingdom,huawei,Computers,2297.08
dell precision,241.01,1,Used,11260,United States,dell,Computers,2112.66
galaxy s20,109.86,3,New,11604,United States,samsung,Smartphones,1998.9
huawei p30,105.92,4,Used,5385,United Kingdom,huawei,Smartphones,1565.1
iphone x,179.92,3,Used,101,United Kingdom,apple,Smartphones,1394.36
dell xps,178.28,4,Certified refurbished,9853,United States,dell,Computers,4547.17
oneplus nord,129.07,2,New,218,United States,oneplus,Smartphones,419.29
xiaomi redmibook,15.64,2,New,209973,Germany,xiaomi,Computers,66.21
asus zenbook,117.59,1,Used,0,Netherlands,asus,Computers,2351.89
galaxy s10,95.31,2,Seller refurbished,59433,United Kingdom,samsung,Smartphones,1079.5
xiaomi mi 11,0.0,2,New,1222,Hong Kong,xiaomi,Smartphones,6279.11
oneplus nord,128.22,1,Used,39515,United States,oneplus,Smartphones,84.51
ipad air,105.19,4,Used,286,United Kingdom,apple,Tablets,552.4
lenovo thinkpad,142.77,1,Used,725,United Kingdom,lenovo,Computers,1124.48
oneplus nord,39.16,1,Used,98,Italy,oneplus,Smartphones,1879.89
huawei mediapad,85.87,1,Seller refurbished,59433,United Kingdom,huawei,Tablets,562.22
huawei p30,94.43,1,Used,29594,United States,huawei,Smartphones,1098.97
huawei p30,94.0,4,New,434,United Kingdom,huawei,Smartphones,910.96
iphone 12,156.84,3,Open box,2195,United Kingdom,apple,Smartphones,4363.99
lenovo thinkpad,165.14,1,Seller refurbished,6071,United States,lenovo,Computers,799.37
xiaomi mi 10,136.51,3,New,17243,Hong Kong,xiaomi,Smartphones,3588.2
lenovo ideapad,170.07,4,New,1943,United States,lenovo,Computers,2817.67
lenovo thinkbook,192.21,3,New,11993,United States,lenovo,Computers,3611.45
ipad air,83.14,1,Used,1381,United Kingdom,apple,Tablets,313.03
hp zbook,211.53,1,Seller refurbished,1265,United Kingdom,hp,Computers,3577.99
lenovo ideapad,156.54,3,Used,8407,United States,lenovo,Computers,1332.25
xiaomi mi 10,199.7,4,New,128,Germany,xiaomi,Smartphones,1402.09
macbook air,129.76,1,Used,534459,United States,apple,Computers,1095.8
xiaomi redmibook,137.15,2,New,408435,Germany,xiaomi,Computers,94.04
galaxy s20,110.02,1,Seller refurbished,127396,United Kingdom,samsung,Smartphones,1889.15
xiaomi mi 10,105.8,1,Used,43886,United States,xiaomi,Smartphones,1787.63
iphone 11,117.64,1,Used,38423,United States,apple,Smartphones,2314.8
huawei p30,101.29,3,Seller refurbished,75,Australia,huawei,Smartphones,1899.25
ipad air,87.46,3,Used,27114,United Kingdom,apple,Tablets,552.36
lenovo ideapad,147.72,1,Used,130,United States,lenovo,Computers,1648.7
galaxy s20,113.21,2,Open box,19995,United States,samsung,Smartphones,2174.45
dell precision,248.29,3,Seller refurbished,43381,United States,dell,Computers,2258.96
macbook pro,106.62,3,For parts or not working,94258,United States,apple,Computers,283.11
iphone x,125.36,4,Used,4780,United Kingdom,apple,Smartphones,1506.81
lenovo thinkbook,197.94,2,New,8437,Poland,lenovo,Computers,2820.11
galaxy s20,0.0,2,Used,2133,South,samsung,Smartphones,2361.47
xiaomi mi 10,119.87,1,New,119196,United States,xiaomi,Smartphones,1931.77
dell vostro,322.39,3,Used,399,United States,dell,Computers,130.42
galaxy tab,82.49,2,Seller refurbished,94331,United States,samsung,Tablets,554.27
huawei p30,114.85,4,Used,4780,United Kingdom,huawei,Smartphones,805.54
xiaomi mi 10,136.51,3,New,17243,Hong Kong,xiaomi,Smartphones,2600.11
xiaomi redmibook,137.15,2,New,212681,Germany,xiaomi,Computers,92.08
lenovo thinkpad,145.49,1,Used,1474,United States,lenovo,Computers,1165.71
ipad air,96.72,4,Used,27114,United Kingdom,apple,Tablets,1058.54
asus vivobook,252.2,4,New,137,United States,asus,Computers,1498.78
oneplus nord,0.0,2,New,114,Hong Kong,oneplus,Smartphones,1293.59
iphone x,585.05,3,Seller refurbished,17,United States,apple,Smartphones,1625.15
ipad pro,135.65,4,Seller refurbished,127396,United Kingdom,apple,Tablets,2013.28
macbook air,109.91,4,Used,153,United States,apple,Computers,832.68
huawei p30,119.87,3,Used,119196,United States,huawei,Smartphones,1865.16
huawei p40,90.37,2,Used,78929,United Kingdom,huawei,Smartphones,807.9
lenovo thinkbook,203.33,3,New,78929,United Kingdom,lenovo,Computers,3613.46
lenovo tab,121.94,4,For parts or not working,338,United Kingdom,lenovo,Tablets,52.63
asus rog strix scar,228.85,1,For parts or not working,1282,United States,asus,Computers,971.85
iphone 11,115.08,2,Used,125,United Kingdom,apple,Smartphones,2715.94
ipad air,103.48,4,Used,763,United Kingdom,apple,Tablets,805.59
lenovo thinkbook,188.32,4,New,296957,United States,lenovo,Computers,2579.96
xiaomi mi 11,173.28,2,New,5010,United Kingdom,xiaomi,Smartphones,4844.38
oneplus nord,112.0,2,New,78929,United Kingdom,oneplus,Smartphones,1997.11
ipad air,112.09,2,Used,2576,United Kingdom,apple,Tablets,460.29
macbook pro,133.56,3,For parts or not working,2341,United States,apple,Computers,541.24
huawei p30,141.69,3,Used,285,United Kingdom,huawei,Smartphones,1381.01
lenovo thinkbook,246.81,1,Seller refurbished,23286,United States,lenovo,Computers,2997.6
asus vivobook,164.34,2,Seller refurbished,11983,United Kingdom,asus,Computers,1473.03
iphone 12,159.08,1,Used,329,United States,apple,Smartphones,3099.95
huawei p40,125.54,1,Open box,1690,United Kingdom,huawei,Smartphones,764.68
galaxy book,0.0,2,New,5010,United Kingdom,samsung,Computers,7913.18
galaxy s10,65.01,2,Used,13,United States,samsung,Smartphones,536.3
huawei matebook,188.02,2,Seller refurbished,78929,United Kingdom,huawei,Computers,2946.07
huawei mediapad,137.78,1,Used,660,United Kingdom,huawei,Tablets,206.91
macbook pro,236.48,3,Seller refurbished,748,United States,apple,Computers,1610.36
galaxy s10,109.7,2,For parts or not working,17171,United States,samsung,Smartphones,126.76
ipad air,122.44,2,Used,152,United States,apple,Tablets,348.06
asus zephyrus,260.41,2,New,365,United States,asus,Computers,6529.82
galaxy tab,80.44,3,Used,19205,United Kingdom,samsung,Tablets,248.23
huawei p40,160.29,3,Used,248,United Kingdom,huawei,Smartphones,2531.85
iphone x,106.2,1,Seller refurbished,882,United Kingdom,apple,Smartphones,727.57
iphone x,107.19,2,Used,2448,United States,apple,Smartphones,667.94
macbook air,99.55,1,Seller refurbished,214574,United States,apple,Computers,2657.87
dell precision,192.97,4,Used,3086,United Kingdom,dell,Computers,2563.91
lenovo ideapad,202.41,1,Open box,25976,United States,lenovo,Computers,1515.47
galaxy s21,128.17,1,Open box,144,United States,samsung,Smartphones,2864.4
huawei mediapad,113.76,2,New,1115,China,huawei,Tablets,721.57
macbook pro,178.56,1,Used,1255,United Kingdom,apple,Computers,943.69
asus rog strix scar,295.83,2,New,25284,United Kingdom,asus,Computers,6300.73
lenovo thinkbook,197.81,2,New,296957,United States,lenovo,Computers,3493.07
asus zenbook,216.64,3,Seller refurbished,78929,United Kingdom,asus,Computers,4491.43
asus zenbook,0.0,4,Used,247,Japan,asus,Computers,5227.59
dell vostro,176.39,2,Used,411,Germany,dell,Computers,1763.92
iphone 11,99.55,3,Seller refurbished,214574,United States,apple,Smartphones,1881.81
lenovo thinkbook,422.97,2,New,25346,United States,lenovo,Computers,2408.03
xiaomi mi 10,391.67,1,New,866,Germany,xiaomi,Smartphones,1958.5
lenovo thinkpad,224.73,2,Seller refurbished,1519,United States,lenovo,Computers,1340.75
dell vostro,220.25,1,Used,224,United Kingdom,dell,Computers,4.47
lenovo thinkpad,154.46,1,Seller refurbished,2453,United Kingdom,lenovo,Computers,1102.03
ipad pro,125.98,3,Used,52,United States,apple,Tablets,1793.22
lenovo thinkbook,194.68,1,New,296957,United States,lenovo,Computers,2912.1
lenovo thinkpad,141.01,1,For parts or not working,3,Spain,lenovo,Computers,205.65
huawei p30,199.73,3,New,128,Germany,huawei,Smartphones,1073.28
ipad air,133.13,1,Used,952,United Kingdom,apple,Tablets,48.34
iphone 12,108.21,1,Used,38423,United States,apple,Smartphones,2138.85
lenovo ideapad,169.27,4,Seller refurbished,2586,United States,lenovo,Computers,1137.33
macbook air,276.2,4,Used,903,United Kingdom,apple,Computers,1196.83
galaxy s20,0.0,2,New,17192,South,samsung,Smartphones,3823.65
galaxy s10,87.34,4,Seller refurbished,44117,United States,samsung,Smartphones,1029.08
huawei mediapad,153.18,1,New,119196,United States,huawei,Tablets,699.41
macbook pro,213.73,3,Used,3284,United Kingdom,apple,Computers,345.25
lenovo thinkpad,210.65,3,Open box,1880,United Kingdom,lenovo,Computers,4853.44
ipad air,148.32,1,Used,352,United States,apple,Tablets,273.12
asus zenbook,196.91,4,Seller refurbished,78929,United Kingdom,asus,Computers,3408.03
dell latitude,216.22,1,Used,203,United Kingdom,dell,Tablets,529.39
galaxy s21,151.55,1,New,752,United States,samsung,Smartphones,2597.95
huawei p30,92.07,3,Open box,1276,United Kingdom,huawei,Smartphones,805.54
iphone 12,117.07,2,New,507,United States,apple,Smartphones,2498.03
macbook pro,142.89,4,Used,5031,United States,apple,Computers,1395.56
macbook pro,217.49,4,Used,256,United States,apple,Computers,1498.82
asus zenbook,214.42,3,New,1394,United Kingdom,asus,Computers,4369.69
lenovo thinkpad,178.17,3,Seller refurbished,47,United Kingdom,lenovo,Computers,1124.52
iphone 11,119.37,2,Seller refurbished,293554,United Kingdom,apple,Smartphones,1680.18
ipad air,0.0,1,New,9678,South,apple,Tablets,2366.0
galaxy s21,152.83,1,New,474,United Kingdom,samsung,Smartphones,4143.03
iphone 11,114.08,1,New,32390,United States,apple,Smartphones,2128.32
ipad air,69.05,3,Used,16,United Kingdom,apple,Tablets,78.26
dell precision,226.45,1,Used,739,United States,dell,Computers,1348.84
ipad pro,177.81,4,Used,541,United Kingdom,apple,Tablets,2749.14
galaxy tab,166.61,1,Used,39515,United States,samsung,Tablets,140.2
galaxy s10,87.82,1,Seller refurbished,110980,United States,samsung,Smartphones,910.05
asus zenbook,276.2,1,Open box,1,Spain,asus,Computers,4529.71
ipad air,104.31,3,Used,3431,United Kingdom,apple,Tablets,851.58
macbook pro,141.62,2,Used,1091,United States,apple,Computers,1715.31
iphone 11,91.46,1,Used,4223,United States,apple,Smartphones,942.59
iphone x,111.19,4,Seller refurbished,819,United Kingdom,apple,Smartphones,1093.04
galaxy s21,117.84,4,Open box,679,United States,samsung,Smartphones,2324.66
dell xps,202.56,1,Used,54,United States,dell,Computers,1137.6
lenovo thinkbook,211.43,3,New,421,United States,lenovo,Computers,3397.28
lenovo thinkpad,140.74,3,Seller refurbished,69328,United States,lenovo,Computers,1072.57
lenovo thinkbook,190.95,4,New,296957,United States,lenovo,Computers,2325.06
galaxy s20,142.2,1,Used,189,United Kingdom,samsung,Smartphones,874.64
asus rog strix scar,0.0,2,New,14357,Spain,asus,Computers,7828.06
lenovo thinkbook,183.39,4,New,296957,United States,lenovo,Computers,2738.07
ipad pro,156.91,3,Seller refurbished,59433,United Kingdom,apple,Tablets,3837.01
dell precision,232.95,2,Used,11260,United States,dell,Computers,1690.12
galaxy s10,89.68,3,Seller refurbished,2383,United States,samsung,Smartphones,942.55
dell xps,123.71,2,Used,43886,United States,dell,Computers,1690.06
xiaomi mi 11,173.28,2,New,5010,United Kingdom,xiaomi,Smartphones,3638.94
dell xps,195.35,4,Seller refurbished,7349,United Kingdom,dell,Computers,2694.36
ipad pro,130.32,3,Used,43886,United States,apple,Tablets,2021.41
galaxy tab,109.39,1,Used,1723,United Kingdom,samsung,Tablets,629.51
asus zenbook,222.28,2,Seller refurbished,766,United Kingdom,asus,Computers,1579.92
asus vivobook,391.51,2,New,14357,Spain,asus,Computers,1958.34
dell xps,295.22,1,Used,410,United States,dell,Computers,2957.77
huawei p40,58.76,1,Open box,53,Italy,huawei,Smartphones,1527.66
ipad air,101.52,2,Used,2837,United States,apple,Tablets,1188.76
galaxy s20,127.54,4,Used,22198,United States,samsung,Smartphones,2925.11
galaxy s10,88.44,3,Seller refurbished,8633,United States,samsung,Smartphones,877.42
iphone x,98.26,2,Used,2961,United States,apple,Smartphones,739.44
galaxy s10,95.31,4,Used,9190,United Kingdom,samsung,Smartphones,1079.54
galaxy s10,0.0,3,Used,2133,South,samsung,Smartphones,1137.6
huawei mediapad,0.0,3,New,114,Hong Kong,huawei,Tablets,909.99
huawei mediapad,81.78,1,Used,5385,United Kingdom,huawei,Tablets,337.31
lenovo thinkpad,129.75,4,New,9853,United States,lenovo,Computers,1621.9
hp zbook,287.62,1,New,508,United States,hp,Computers,4550.39
galaxy s20,109.28,1,Seller refurbished,293554,United Kingdom,samsung,Smartphones,1850.51
galaxy s10,91.95,4,Seller refurbished,44117,United States,samsung,Smartphones,1270.87
dell vostro,184.72,2,Seller refurbished,13952,United Kingdom,dell,Computers,2080.99
galaxy s20,104.33,2,Seller refurbished,44117,United States,samsung,Smartphones,1918.98
